Coach,PassAttAgainst,PassCmpAgainst,PassYdsAgainst,PassTDsAgainst,Interceptions,RushAttAgainst,RushYdsAgainst,RushTDsAgainst,FgsAgainst,FumsRecovered,DefReturnYds,DefPoints,Sacks,SackYds,YdsPerDropbackAgainst,YdsPerRushAgainst,TurnoversForced,OffensivePtsAgainst,YdsPerPlayAgainst,CompletionPrctAllowed,PlaysAllowed,TotalYdsAllowed,TurnoverRate,RushPrctAgainst,YrsExp,Team,Position
Dennis Thurman,575.333,345.667,4114.000,29,12.000,402.667,1543.667,9.667,27,6.000,169.333,8.667,35.667,225.667,6.365,3.845,18.000,351.667,5.361,60.21%,1013.667,5432.000,1.77%,39.73%,3,BUF,DC
Dick LeBeau,520.719,302.030,3546.146,21.5407407407,15.738,435.904,1715.607,13.111,23.575308642,13.178,271.501,15.042,37.877,259.711,5.913,3.905,28.916,313.289,5.025,57.99%,994.499,5002.042,2.91%,43.73%,27,TEN,DC
Dom Capers,522.182,298.136,3625.182,22.1818181818,17.727,441.545,1836.045,10.909,22.4545454545,11.864,315.727,15.909,39.955,255.455,6.011,4.149,29.591,299.000,5.181,57.10%,1003.682,5205.773,2.96%,43.97%,22,GB,DC
Gary Kubiak,532.556,322.111,3704.556,24.2222222222,12.667,417.889,1732.889,12.889,25,10.667,223.222,13.778,35.111,229.111,6.150,4.139,23.333,334.778,5.289,60.58%,985.556,5208.333,2.37%,42.45%,9,DEN,HC
George Edwards,511.600,322.400,3672.400,26.2,14.800,480.600,2169.200,14.800,24.4,10.000,267.000,17.600,33.400,209.400,6.356,4.497,24.800,360.200,5.494,62.91%,1025.600,5632.200,2.43%,46.79%,5,MIN,DC
Gregg Williams,528.412,314.000,3645.706,20.5882352941,13.294,425.529,1721.941,12.294,24.3529411765,10.353,254.529,16.706,36.000,224.529,6.066,4.043,23.647,303.235,5.191,59.41%,989.941,5143.118,2.39%,43.04%,17,LA,DC
Gus Bradley,564.857,351.857,4069.714,24.7142857143,13.000,455.857,1853.571,14.000,26.4285714286,11.286,265.286,18.857,35.143,235.286,6.389,4.079,24.286,350.286,5.382,62.30%,1055.857,5688.000,2.32%,43.09%,7,JAX,HC
Hue Jackson,601.000,324.000,4262.000,31,18.000,430.000,2178.000,15.000,21,10.000,258.000,8.000,39.000,239.000,6.286,5.065,28.000,385.000,5.795,53.91%,1070.000,6201.000,2.62%,40.19%,1,CLE,HC
Jack Del Rio,537.500,327.000,3711.000,23.0714285714,16.429,420.571,1630.857,11.500,23.1428571429,9.786,231.429,12.286,36.000,228.357,6.109,3.878,26.214,311.429,5.151,60.87%,994.071,5113.500,2.64%,42.43%,14,OAK,HC
James Bettcher,573.000,343.000,3957.000,24,19.000,373.000,1460.000,9.000,26,14.000,315.000,40.000,36.000,270.000,6.054,3.914,33.000,309.000,5.241,59.86%,982.000,5147.000,3.36%,37.98%,1,ARI,DC
Jason Garrett,548.600,352.000,4186.200,24,12.600,423.000,1845.000,15.600,25.2,10.200,227.400,16.000,33.800,217.000,6.810,4.354,22.800,352.800,5.777,64.13%,1005.400,5814.200,2.27%,42.10%,5,DAL,HC
Jay Gruden,542.500,349.500,4311.500,32.5,9.000,413.500,1842.000,10.500,22.5,12.500,134.000,6.000,37.000,252.500,7.012,4.461,21.500,368.500,5.941,64.51%,993.000,5901.000,2.16%,41.67%,2,WAS,HC
Jeff Fisher,535.500,323.250,3767.708,22.6666666667,16.583,419.583,1646.417,12.000,22.9166666667,12.500,328.667,20.167,39.375,244.042,6.151,3.912,29.083,311.417,5.194,60.22%,994.458,5170.083,2.93%,42.21%,24,LA,HC
Jim Caldwell,546.200,364.400,3829.600,23.2,12.600,446.000,1855.200,13.800,26.6,9.600,229.400,14.800,35.400,237.000,6.208,4.112,22.200,338.800,5.301,66.88%,1027.600,5447.800,2.16%,43.29%,5,DET,HC
Jim O'Neil,549.000,328.500,3976.000,28,16.000,479.000,2160.000,12.000,29.5,9.000,312.000,16.000,30.000,174.000,6.621,4.508,25.000,368.500,5.659,60.04%,1058.000,5962.000,2.35%,45.31%,2,SF,DC
Jim Schwartz,548.357,339.429,3847.000,24.5,16.214,413.500,1751.143,13.286,24.9285714286,12.286,313.929,19.143,37.500,230.786,6.190,4.214,28.500,339.286,5.369,61.95%,999.357,5367.357,2.85%,41.34%,14,PHI,DC
Joe Barry,537.000,359.667,4228.667,29,10.667,463.333,2209.000,20.000,21.6666666667,17.667,231.000,12.667,34.333,237.000,7.063,4.745,28.333,408.000,6.004,67.01%,1034.667,6200.667,2.72%,44.88%,3,WAS,DC
John Fox,542.143,317.048,3635.286,20.8095238095,16.667,437.905,1690.952,12.095,23.380952381,12.333,275.952,16.381,40.714,268.857,5.787,3.849,29.000,300.476,4.954,58.50%,1020.762,5057.381,2.84%,42.91%,21,CHI,HC
John Harbaugh,554.000,325.000,3749.125,19.875,16.000,418.000,1563.000,8.375,28.625,11.000,267.500,17.250,38.000,252.000,5.901,3.733,27.000,283.625,5.002,58.56%,1010.000,5060.125,2.69%,41.34%,8,BAL,HC
John Pagano,537.500,339.750,3981.250,24.25,10.750,409.250,1814.500,13.000,24.75,11.250,203.000,18.500,32.750,223.000,6.597,4.432,22.000,335.000,5.698,63.22%,979.500,5572.750,2.24%,41.79%,4,SD,DC
Kacy Rogers,601.000,343.000,4041.000,25,18.000,373.000,1335.000,4.000,26,10.000,209.000,0.000,39.000,278.000,5.880,3.579,28.000,281.000,5.033,57.07%,1013.000,5098.000,2.76%,36.82%,1,NYJ,DC
Keith Butler,625.000,402.000,4661.000,29,17.000,382.000,1459.000,6.000,26,11.000,285.000,12.000,48.000,311.000,6.464,3.819,28.000,323.000,5.506,64.32%,1055.000,5809.000,2.65%,36.21%,1,PIT,DC
Ken Norton Jr.,641.000,404.000,4351.000,25,14.000,406.000,1678.000,12.000,36,12.000,149.000,10.000,38.000,211.000,6.097,4.133,26.000,367.000,5.362,63.03%,1085.000,5818.000,2.40%,37.42%,1,OAK,DC
Kris Richard,548.000,333.000,3619.000,14,14.000,362.000,1304.000,10.000,27,8.000,263.000,18.000,37.000,255.000,5.750,3.602,22.000,249.000,4.929,60.77%,947.000,4668.000,2.32%,38.23%,1,SEA,DC
Marvin Lewis,551.050,332.400,3682.050,20.5,17.900,431.500,1703.800,12.600,24.25,11.900,272.250,14.400,35.550,228.700,5.909,3.938,28.900,304.450,5.063,60.33%,1018.100,5157.150,2.84%,42.37%,20,CIN,HC
Matt Patricia,586.500,345.750,4237.000,25.25,17.500,449.000,1897.250,9.500,23.5,15.000,293.500,18.000,43.250,280.250,6.284,4.207,32.500,313.750,5.429,58.95%,1078.750,5854.000,3.02%,41.57%,4,NE,DC
Mike McCarthy,549.300,314.700,3826.900,24.4,21.200,419.100,1825.700,11.100,22.9,8.600,379.600,24.000,39.700,251.600,6.053,4.351,29.800,317.200,5.349,57.20%,1008.100,5401.000,2.96%,41.58%,10,GB,HC
Mike McCoy,527.333,337.333,4000.000,23,9.667,410.333,1905.333,14.000,26.6666666667,9.667,156.667,10.000,31.000,216.000,6.772,4.643,19.333,339.000,5.877,63.94%,968.667,5689.333,2.00%,42.34%,3,SD,HC
Mike Mularkey,508.000,305.333,3487.667,20,17.667,493.667,2021.667,15.667,27.3333333333,14.000,262.000,11.333,34.333,238.667,5.976,4.079,31.667,331.667,5.065,59.96%,1036.000,5270.667,3.10%,47.58%,3,TEN,HC
Mike Smith,532.750,325.667,3800.083,21.0833333333,16.833,418.833,1749.333,12.167,22.5,10.000,252.250,12.833,32.417,207.667,6.349,4.185,26.833,300.250,5.422,61.10%,984.000,5341.750,2.73%,42.55%,12,TB,DC
Mike Tomlin,559.900,329.900,3624.300,20,14.400,377.700,1410.900,8.300,25.8,11.300,251.200,17.000,39.900,255.900,5.598,3.715,25.700,275.500,4.883,58.79%,977.500,4779.300,2.63%,38.65%,10,PIT,HC
Mike Zimmer,527.000,315.813,3518.375,22,14.750,440.750,1796.125,11.813,24.625,11.563,258.188,15.750,33.438,212.438,5.906,4.065,26.313,310.563,5.096,59.87%,1001.188,5102.063,2.63%,44.03%,16,MIN,HC
Paul Guenther,627.000,390.000,4138.500,18,20.500,391.500,1669.000,12.000,26,7.000,207.500,8.000,31.000,206.500,5.985,4.266,27.500,288.000,5.336,62.14%,1049.500,5601.000,2.62%,37.24%,2,CIN,DC
Pete Carroll,543.063,317.938,3573.938,19.4375,19.063,421.063,1610.000,9.563,24.375,13.125,321.313,19.375,37.625,250.750,5.735,3.814,32.188,276.125,4.925,58.59%,1001.750,4933.188,3.22%,42.01%,16,SEA,HC
Ray Horton,537.500,324.750,3777.000,27.75,14.750,486.250,1991.250,13.250,27,8.750,296.750,16.500,39.000,226.500,6.184,4.085,23.500,368.000,5.220,60.35%,1062.750,5541.750,2.22%,45.80%,4,CLE,DC
Rex Ryan,528.273,295.455,3513.545,21.0909090909,16.091,417.455,1541.182,10.091,24.8181818182,11.273,315.818,18.000,37.455,242.000,5.772,3.683,27.364,292.727,4.886,55.85%,983.182,4812.727,2.81%,42.44%,11,BUF,HC
Richard Smith,526.400,335.200,3758.400,22.6,12.600,439.600,1838.800,16.000,24.4,11.800,237.800,13.200,30.400,210.800,6.393,4.192,24.400,343.400,5.422,63.66%,996.400,5386.400,2.44%,44.15%,5,ATL,DC
Rod Marinelli,553.125,357.625,3984.000,21.875,15.500,435.750,1858.250,16.500,24,14.875,256.625,19.500,32.750,220.250,6.483,4.230,30.375,340.625,5.506,64.84%,1021.625,5622.000,2.97%,42.68%,8,DAL,DC
Romeo Crennel,527.429,303.571,3573.357,21.3571428571,17.786,467.429,1990.500,12.143,24.2857142857,10.643,306.429,17.000,34.071,213.500,6.032,4.243,28.429,307.357,5.205,57.68%,1028.929,5350.357,2.76%,45.44%,14,HOU,DC
Ron Rivera,553.909,342.545,3693.909,20.9090909091,17.545,414.091,1704.909,10.727,24,12.091,335.000,19.636,40.000,255.545,5.814,4.110,29.636,293.455,5.106,61.78%,1008.000,5143.273,2.93%,41.11%,11,CAR,HC
Sean McDermott,562.286,354.429,3904.286,24.4285714286,18.714,402.286,1699.000,11.571,24.7142857143,11.714,286.000,17.429,42.429,293.714,6.019,4.208,30.429,326.143,5.280,63.11%,1007.000,5309.571,3.01%,40.01%,7,CAR,DC
Sean Payton,535.000,323.111,3898.000,24.6666666667,12.889,414.333,1896.222,12.667,25.8888888889,9.444,236.000,11.556,34.778,228.889,6.426,4.583,22.333,339.000,5.647,60.40%,984.111,5565.333,2.26%,42.14%,9,NO,HC
Steve Spagnuolo,544.429,333.000,4033.000,23.8571428571,13.714,444.143,1977.571,15.286,26.1428571429,10.143,270.000,15.714,36.429,238.286,6.515,4.428,23.857,352.429,5.607,61.05%,1025.000,5772.286,2.33%,43.34%,7,NYG,DC
Teryl Austin,560.000,371.500,4033.000,25,14.500,389.000,1458.500,13.000,21.5,8.000,279.500,13.000,42.000,285.500,6.246,3.696,22.500,330.500,5.251,66.44%,991.000,5206.000,2.27%,39.23%,2,DET,DC
Todd Bowles,601.667,358.333,4167.333,25.3333333333,18.667,379.667,1475.000,6.000,25.3333333333,11.000,299.333,19.333,40.333,286.333,6.063,3.874,29.667,295.333,5.247,59.61%,1021.667,5356.000,2.90%,37.18%,3,NYJ,HC
Vic Fangio,533.813,313.625,3709.000,23.1875,15.688,442.250,1839.875,11.563,23.375,11.125,282.625,14.125,37.250,243.000,6.099,4.142,26.813,313.375,5.238,58.83%,1013.313,5305.875,2.65%,43.58%,16,CHI,DC
Wade Phillips,526.908,299.522,3624.070,21.1966329966,16.891,436.117,1729.063,12.130,23.9757575758,13.413,260.152,12.242,44.882,307.020,5.802,3.957,30.304,305.213,5.006,56.89%,1007.907,5046.113,3.00%,43.25%,33,DEN,DC
Median of Means,546.200,330.667,3826.900,23.188,16.000,421.063,1749.333,12.000,24.625,11.250,267.500,16.381,37.455,242.000,6.099,4.085,27.500,313.375,5.251,60.33%,1011.333,5350.357,2.65%,42.21%,6.000,NFL,HC/DC
